ID,Parent Company,Acquisition Year,Acquisition Month,Acquired Company,Business,Country,Acquisition Price,Category,Derived Products
40,Apple,2012,Jun,Redmatica,Audio,-,-,-,-
41,Apple,2012,Jul,AuthenTec,PC and mobile security products,-,356000000,-,-
42,Apple,2012,Sep,Particle,HTML5 Web app firm,-,-,-,-
43,Apple,2013,-,Novauris Technologies,Speech recognition,-,-,-,-
44,Apple,2013,-,OttoCat,Search engine,-,-,-,-
45,Apple,2013,Mar,WiFiSlam,Indoor location,-,20000000,-,-
46,Apple,2013,Jul,Locationary,Maps,-,-,-,-
47,Apple,2013,Jul,HopStop.com,Maps,-,-,-,-
48,Apple,2013,Aug,Passif Semiconductor,Semiconductors,-,-,-,-
49,Apple,2013,Aug,Matcha,Media discovery app,-,-,-,-
50,Apple,2013,Aug,Embark,Maps,-,-,-,-
51,Apple,2013,Aug,AlgoTrim,Mobile data compression[citation needed],-,-,-,-
52,Apple,2013,Oct,Cue,Personal assistant,-,50000000,-,-
53,Apple,2013,Nov,PrimeSense,Structured-light 3D scanners,-,360000000,-,-
54,Apple,2013,Dec,Topsy,Analytics,-,200000000,-,-
55,Apple,2013,Dec,BroadMap,Maps,-,-,-,-
56,Apple,2013,Dec,Catch.com,Software,-,-,-,-
57,Apple,2013,Dec,Acunu,Database analytics,-,-,-,-
58,Apple,2014,Jan,SnappyLabs,Photography software,-,-,-,-
59,Apple,2014,Feb,Burstly,Software testing,-,-,-,-
60,Apple,2014,May,LuxVue Technology,microLED displays,-,-,-,-
61,Apple,2014,Jun,Spotsetter,Social search engine,-,-,-,-
62,Apple,2014,Jun,Swell,Music streaming,-,30000000,-,-
63,Apple,2014,Jun,BookLamp,Book analytics,-,-,-,-
64,Apple,2014,Aug,Beats Electronics,"Headphones, music streaming (Beats Music)",-,-,-,-
65,Apple,2014,Sep,Prss,Digital magazine,-,-,-,-
66,Apple,2014,-,Dryft,On-Screen Keyboard,-,-,-,-
67,Apple,2015,Jan,Camel Audio,Audio plug-ins and sound libraries,-,-,-,-
68,Apple,2015,Jan,Semetric,Music analytics,-,50000000,-,-
69,Apple,2015,Mar,FoundationDB,Database,-,-,-,-
70,Apple,2015,Apr,LinX,Camera,-,20000000,-,-
71,Apple,2015,Apr,Coherent Navigation,GPS,-,-,-,-
72,Apple,2015,May,Metaio,Augmented reality,-,-,-,-
73,Apple,2015,Sep,Mapsense,Mapping visualization and data collection,-,27500000,-,-
74,Apple,2015,Sep,VocalIQ,Speech technology,-,-,-,-
75,Apple,2015,Sep,Perceptio,"Machine learning, Image recognition",-,-,-,-
76,Apple,2015,Nov,Faceshift,Realtime Motion Capture,-,-,-,-
77,Apple,2016,Jan,Emotient,Emotion recognition,-,-,-,-
78,Apple,2016,Jan,LearnSprout,Education technology,-,-,-,-
79,Apple,2016,Jan,Flyby Media,Augmented reality,-,-,-,-
80,Apple,2016,Feb,LegbaCore,Platform security,-,-,-,-
81,Apple,2016,Aug,Turi,Machine learning,-,200000000,-,-
82,Apple,2016,Aug,Gliimpse,Personal health info collection company,-,-,-,-
83,Apple,2016,Sep,Tuplejump,Machine learning,-,-,-,-
84,Apple,2016,Dec,Indoor.io,Indoor mapping and navigation,-,-,-,-
85,Apple,2017,Mar,Workflow,Automation and scripting app,-,-,-,-
86,Apple,2017,May,Beddit,Sleep tracking hardware,-,-,-,-
87,Apple,2017,May,Lattice Data,Artificial intelligence,-,200000000,-,-
88,Apple,2017,Jun,SensoMotoric Instruments,Eye tracking hardware and software,-,-,-,-
89,Apple,2017,Sep,Vrvana,Augmented reality head-mounted display,-,30000000,-,-
90,Apple,2017,Sep,Regaind,Computer vision,-,-,-,-
91,Apple,2017,Oct,init.ai,Messaging assistant,-,-,-,-
92,Apple,2017,Oct,PowerbyProxi,Wireless charging,-,-,-,-
93,Apple,2017,Nov,InVisage Technologies,Quantum dot-based image sensors,-,-,-,-
94,Apple,2017,Dec,Pop Up Archive,tools for searching digital spoken words,-,-,-,-
95,Apple,2017,Dec,Spektral,"Computer vision, real-time editing",-,30000000,-,-
96,Apple,2018,-,Laserlike,Machine learning,-,-,-,-
97,Apple,2018,-,Silk Labs,"Artificial Intelligence, home monitoring",-,-,-,-
98,Apple,2018,-,Tueo Health,Asthma monitoring,-,-,-,-
99,Apple,2017,Dec,Silicon Valley Data Science,"Data science, data engineering, analytics",-,-,-,-
100,Apple,2018,Jan,Buddybuild,"Continuous integration, debugging, and testing for mobile apps.",-,-,-,-
101,Apple,2018,Mar,Texture,Digital magazine subscription service,-,-,-,-
102,Apple,2018,Aug,Akonia Holographics,Lenses for augmented reality glasses,-,-,-,-
103,Apple,2018,Sep,Shazam,Music and Image recognition,-,400000000,-,-
104,Apple,2018,Oct,Dialog Semiconductor (portions),Chip development,-,600000000,-,-
105,Apple,2018,Oct,Asaii,Music analytics,-,-,-,-
106,Apple,2018,Dec,Platoon,Artist development,-,-,-,-
107,Apple,2019,Feb,PullString,Speech technology,-,-,-,-
108,Apple,2019,Mar,Stamplay,Backend workflow development,-,5600000,-,-
109,Apple,2019,Jun,Drive.ai,Autonomous vehicles,-,-,-,-
110,Apple,2019,Jul,Intel's smartphone modem business,Smartphone modems,-,-,-,-
111,Apple,2019,Oct,IKinema,Motion capture,-,-,-,-
112,Apple,2019,Dec,Spectral Edge,Low-light photography,-,-,-,-
113,Apple,2020,Jan,Xnor.ai,"Edge computing, artificial intelligence",-,200000000,-,-
114,Apple,2020,-,Scout FM,Podcast A.I.,-,-,-,-
115,Apple,2020,Mar,Dark Sky,Weather forecasting and app,-,-,-,-
116,Apple,2020,Apr,Voysis,Artificial intelligence/voice assistant,-,-,-,-
117,Apple,2020,May,NextVR,Virtual reality events,-,100000000,-,-
118,Apple,2020,Jun,Fleetsmith,Mobile device management,-,-,-,-
119,Apple,2020,Jul,Mobeewave,Payments startup,-,100000000,-,-
120,Apple,2020,Aug,Camerai,AR,-,-,-,-
121,Apple,2020,Aug,Spaces,VR startup,-,-,-,-
122,Apple,2021,Jan,Curious AI,Core AI startup,-,-,-,-
123,Apple,2021,Aug,Primephonic,classical music streaming service,-,-,-,-
124,Twitter,2008,Jul,Summize,Social search,United States,-,-,-
125,Twitter,2008,Nov,Values of n,Social software development,-,-,-,-
126,Twitter,2009,Dec,Mixer labs,Location information engine,-,5170000,-,-
127,Twitter,2010,Apr,Atebits,Tweetie,United States,-,Mobile Twitter app (iOS),-
128,Twitter,2010,Apr,Cloudhopper,Mobile messaging,-,-,-,-
129,Twitter,2010,Jun,Smallthought Systems,Databases and analytics,-,-,Analytics tools,-
130,Twitter,2010,Dec,Fluther,Q&A service,-,-,-,-
131,Twitter,2011,May,TweetDeck,Web and desktop client,United States,40000000,-,-
132,Twitter,2011,Jun,AdGrok,Advertising,-,-,-,-
133,Twitter,2011,Jul,BackType,Social analytics,-,-,-,-
134,Twitter,2011,Aug,Bagcheck,Social sharing and discovery,-,-,-,-
135,Twitter,2011,Sep,Julpan,Real-time social search engine,-,-,-,-
136,Twitter,2011,Nov,Whisper Systems,Mobile privacy and security,-,-,-,-
137,Twitter,2012,Jan,Summify,Social news,-,-,-,-
138,Twitter,2012,Jan,Dasient,Internet security,-,-,Revenue team,-
139,Twitter,2012,Mar,Posterous,Blogging platform,-,-,-,-
140,Twitter,2012,Apr,Hotspots.io,Social media intelligence,United States,-,Revenue engineering team,-
141,Twitter,2012,May,RestEngine,Personalized email marketing,United States,-,-,-
142,Twitter,2012,Jun,Nclud,Boutique design agency,-,-,-,-
143,Twitter,2012,Aug,Clutch.IO,A/B tester,-,-,Design,-
144,Twitter,2012,Oct,Vine,Video sharing service,-,30000000,-,-
145,Twitter,2012,Oct,Cabana,Mobile app building software,-,-,-,-
146,Twitter,2013,Jan,Crashlytics,Crash reporting,-,100000000,-,-
147,Twitter,2013,Feb,Bluefin Labs,Social TV analytics,United States,80000000,-,-
148,Twitter,2012,Nov,We Are Hunted,Music service,-,-,-,-
149,Twitter,2013,May,Ubalo,Large-scale computing,-,-,-,-
150,Twitter,2013,May,Lucky Sort,Big Data visualization,-,-,-,-
151,Twitter,2013,Jun,Spindle Labs,Local discovery,United States,-,-,-
152,Twitter,2013,Aug,Locomatix,-,United States,-,-,-
153,Twitter,2013,Aug,Marakana,Training services,-,-,-,-
154,Twitter,2013,Aug,Trendrr,Advertising solutions,-,-,-,-
155,Twitter,2013,Sep,MoPub,Advertising solutions,-,350000000,-,-
156,Twitter,2014,Mar,Mesagraph,Social TV,-,-,-,-
157,Twitter,2014,Mar,SecondSync,Social TV,United Kingdom,-,-,-
158,Twitter,2014,Apr,Cover,Android lockscreen app,-,-,-,-
159,Twitter,2014,Apr,Gnip,Data reseller,-,134000000,-,-
160,Twitter,2014,Jun,Namo Media,Native mobile advertising,-,50000000,MoPub,-
161,Twitter,2014,Jun,TapCommerce,Mobile app install ads,-,100000000,-,-
162,Twitter,2014,Jun,SnappyTV,Live clipping service,-,-,-,-
163,Twitter,2014,Jul,CardSpring,Payment application platform,-,-,Commerce,-
164,Twitter,2014,Jul,Madbits,Deep learning,United States,-,Twitter Cortex,-
165,Twitter,2014,Aug,Mitro,Password security,-,-,-,-
166,Twitter,2014,Oct,Twitpic,Photo-sharing website,-,-,-,-
167,Twitter,2015,Jan,ZipDial,Mobile marketing and analytics,-,-,-,-
168,Twitter,2015,Feb,Niche,Advertising and software,-,-,-,-
169,Twitter,2015,Mar,Periscope,Live-video streaming,-,50100000000,-,-
170,Twitter,2015,Apr,TenXer,Collaboration platform,-,50000000,-,-
171,Twitter,2015,Apr,TellApart,Advertising,-,479000000,-,-
172,Twitter,2015,Jun,Whetlab,Machine learning,United States,-,Twitter Cortex,-
173,Twitter,2015,Oct,Fastlane,Deployment services,-,-,-,-
174,Twitter,2015,Oct,ZeroPush,Push notification services,United States,-,-,-
175,Twitter,2016,Apr,Peer,Employee and manager feedback tool,United States,-,-,-
176,Twitter,2016,Jun,Magic Pony Technology,"Advanced video upscaling, compression and enhancement",United Kingdom,150000000,-,-
177,Twitter,2016,Dec,"Yes, Inc",Social apps developer,United States,-,-,-
178,Twitter,2018,Jun,Smyte,Spam & fraud prevention service,United States,65000000,-,-
179,Twitter,2019,Apr,Highly,Highlight sharing application,-,-,-,-
180,Twitter,2019,Jun,Fabula AI,Geometric deep learning & fake-news detection,United Kingdom,-,-,-
181,Twitter,2019,Nov,Aiden.ai,AI-powered digital marketing,United Kingdom,-,-,-
182,Twitter,2020,Feb,Chroma Labs,Visual Stories App,United States,-,-,-
183,Twitter,2020,May,CrossInstall,Programmatic interactive mobile ads at scale,United States,-,-,-
184,Twitter,2020,Dec,Squad,Real-time social video,United States,-,-,-
185,Twitter,2021,Jan,Breaker,Social podcasting,United States,-,Twitter Spaces,-
186,Twitter,2021,Jan,Ueno,Creative agency,-,-,-,-
187,Twitter,2021,Jan,DriveScale,Storage Technology,United States,-,-,-
188,Twitter,2021,Jan,Revue,Newsletter platform,-,-,-,-
189,Amazon,1998,Apr,Bookpages,-,-,-,-,Amazon UK
190,Amazon,1998,Apr,Telebook,-,-,55000000,-,Amazon Germany
191,Amazon,1998,Apr,IMDb,-,-,55000000,-,IMDb
192,Amazon,1998,Aug,Junglee,-,-,250000000,-,-
193,Amazon,1998,Aug,PlanetAll,-,-,280000000,-,-
194,Amazon,1999,Apr,LiveBid.com,-,-,300000000,-,-
195,Amazon,1999,Apr,Accept.com,-,-,101700000,-,-
196,Amazon,1999,Apr,Alexa Internet,-,-,250000000,-,Alexa Internet
197,Amazon,1999,Apr,e-Niche Incorporated,-,-,-,-,-
198,Amazon,1999,Oct,Convergence Corporation,-,-,23000000,-,-
199,Amazon,1999,Nov,Tool Crib of the North (Online and Catalog Sales Division),-,-,-,-,-
200,Amazon,1999,Nov,Back to Basics Toys,-,-,-,-,-
201,Amazon,1999,Dec,Leep Technology Inc.,-,-,-,-,-
202,Amazon,1999,-,MindCorps Incorporated,-,-,-,-,-
203,Amazon,2001,Dec,Egghead Software,-,-,6100000,-,-
204,Amazon,2001,Dec,OurHouse.com,-,-,-,-,-
205,Amazon,2004,Aug,Joyo.com,-,-,75000000,-,Amazon China
206,Amazon,2005,Apr,BookSurge,-,-,-,-,CreateSpace
207,Amazon,2005,Apr,Mobipocket,-,-,-,-,Mobipocket
208,Amazon,2005,Jul,CustomFlix,-,-,-,-,CreateSpace
209,Amazon,2005,-,smallparts.com,-,-,-,-,Amazon Business
210,Amazon,2006,Feb,Shopbop,-,-,-,-,Shopbop
211,Amazon,2006,Oct,TextPayMe,-,-,3000000,-,Amazon Payments
212,Amazon,2007,May,Digital Photography Review,-,-,-,-,Digital Photography Review
213,Amazon,2007,May,Brilliance Audio,-,-,-,-,Brilliance Audio
214,Amazon,2008,Jan,Withoutabox,-,-,-,-,-
215,Amazon,2008,Jan,Audible,-,-,300000000,-,Audible
216,Amazon,2008,Jun,Fabric.com,-,-,-,-,Fabric.com
217,Amazon,2008,Aug,AbeBooks,-,-,-,-,AbeBooks
218,Amazon,2008,Aug,Shelfari,-,-,-,-,Goodreads
219,Amazon,2008,Oct,Reflexive Entertainment,-,-,-,-,Reflexive Entertainment
220,Amazon,2008,Dec,Box Office Mojo,-,-,-,-,Box Office Mojo
221,Amazon,2009,Apr,Lexcycle,-,-,-,-,Amazon Kindle
222,Amazon,2009,Jun,SnapTell,-,-,-,-,-
223,Amazon,2009,Nov,Zappos,-,-,1200000000,-,Zappos
224,Amazon,2010,Feb,Touchco,-,-,-,-,Amazon Kindle
225,Amazon,2010,Jul,Woot,-,-,110000000,-,Woot
226,Amazon,2010,Sep,Amie Street,-,-,-,-,Songza
227,Amazon,2010,Oct,BuyVIP,-,-,100000000,-,BuyVIP
228,Amazon,2010,Nov,Quidsi,-,-,545000000,-,-
229,Amazon,2010,Nov,Toby Press,-,-,-,-,-
230,Amazon,2011,Jan,LoveFilm,-,-,312000000,-,Amazon Prime Video
231,Amazon,2011,Jul,The Book Depository,-,-,-,-,Book Depository
232,Amazon,2011,Jul,Pushbutton,-,-,-,-,-
233,Amazon,2011,Sep,Yap,-,-,-,-,Amazon Echo
234,Amazon,2011,Sep,Double Helix Games,-,-,-,-,Double Helix Games
235,Amazon,2012,Feb,Teachstreet,-,-,-,-,-
236,Amazon,2012,Mar,Kiva Systems,-,-,775000000,-,Amazon Robotics
237,Amazon,2012,Apr,Evi,-,-,26000000,-,Amazon Echo
238,Amazon,2012,Apr,Avalon Books,-,-,-,-,Amazon Publishing
239,Amazon,2012,Jul,UpNext,-,-,-,-,UpNext
240,Amazon,2013,Jan,IVONA Software,-,-,-,-,"Amazon Echo, Amazon Polly"
241,Amazon,2013,Mar,Goodreads,-,-,-,-,Goodreads
242,Amazon,2013,May,Liquavista,-,-,-,-,Amazon Kindle
243,Amazon,2013,Oct,"TenMarks Education, Inc.",-,-,-,-,"TenMarks Education, Inc."
244,Amazon,2014,Apr,ComiXology,-,-,-,-,ComiXology
245,Amazon,2014,May,Amiato,-,-,-,-,Amazon Web Services
246,Amazon,2014,Aug,Twitch Interactive,-,-,970000000,-,Twitch Interactive
247,Amazon,2014,Aug,Rooftop Media,-,-,-,-,Audible
248,Amazon,2014,Dec,GoodGame,-,-,-,-,Twitch Interactive
249,Amazon,2015,Jan,Annapurna Labs,-,-,350000000,-,Annapurna Labs
250,Amazon,2015,Mar,2lemetry,-,-,-,-,Amazon Web Services
251,Amazon,2015,Apr,Shoefitr,-,-,-,-,-
252,Amazon,2015,Apr,ClusterK,-,-,35000000,-,Amazon Web Services
253,Amazon,2015,Jul,AppThwack,-,-,-,-,Amazon Web Services
254,Amazon,2015,Sep,Elemental Technologies,-,-,500000000,-,AWS Elemental
255,Amazon,2015,Sep,Safaba Translation Systems,-,-,-,-,Amazon Web Services
256,Amazon,2015,Sep,Biba Systems,-,-,-,-,Amazon Chime
257,Amazon,2015,Dec,Orbeus,-,-,-,-,Amazon Web Services
258,Amazon,2016,Jan,Colis Privé,-,-,-,-,-
259,Amazon,2016,Feb,NICE,-,-,-,-,Amazon Web Services
260,Amazon,2016,Feb,Emvantage Payments,-,-,-,-,Amazon Web Services
261,Amazon,2016,Jul,Cloud9 IDE,-,-,-,-,Amazon Web Services
262,Amazon,2016,Aug,"Curse, Inc.",-,-,-,-,Curse LLC
263,Amazon,2016,Oct,Westland,-,-,-,-,Westland
264,Amazon,2016,Nov,Partpic,-,-,-,-,-
265,Amazon,2017,Jan,harvest.ai,-,-,20000000,-,Amazon Web Services
266,Amazon,2017,Mar,Thinkbox Software,-,-,-,-,Amazon Web Services
267,Amazon,2017,Mar,Do.com,-,-,-,-,Amazon Web Services
268,Amazon,2017,Jun,Whole Foods Market,-,-,13700000000,-,Whole Foods Market
269,Amazon,2017,Jul,Souq.com,-,-,580000000,-,Souq.com
270,Amazon,2017,Jul,Graphiq,-,-,50000000,-,Amazon Web Services
271,Amazon,2017,Jul,GameSparks,-,-,10000000,-,GameSparks
272,Amazon,2017,Sep,Wing.ae,-,-,-,-,Souq.com
273,Amazon,2017,Oct,Body Labs,-,-,60000000,-,Body Labs
274,Amazon,2017,Nov,Goo Technologies,-,-,-,-,Amazon Sumerian
275,Amazon,2017,Nov,Dispatch,-,-,-,-,Amazon Scout
276,Amazon,2017,Dec,Blink Home,-,-,90000000,-,Blink Home
277,Amazon,2018,Jan,Sqrrl,-,-,40000000,-,Amazon Web Services
278,Amazon,2018,Feb,Ring,-,-,839000000,-,Ring
279,Amazon,2018,Jun,PillPack,-,-,753000000,-,PillPack
280,Amazon,2018,Aug,Tapzo,-,-,40000000,-,Amazon Pay
281,Amazon,2019,Jan,CloudEndure,-,-,250000000,-,Amazon Web Services
282,Amazon,2019,Jan,TSO Logic,-,-,-,-,TSOLogic
283,Amazon,2019,Feb,Eero,-,-,97000000,-,Eero
284,Amazon,2019,Apr,Canvas Technology,-,-,-,-,Amazon Robotics
285,Amazon,2019,May,Sizmek Ad Server and Sizmek Dynamic Creative Optimization,-,-,-,-,-
286,Amazon,2019,Jun,Bebo,-,-,25000000,-,Twitch Interactive
287,Amazon,2019,Jul,E8 Storage,-,-,-,-,Amazon Web Services
288,Amazon,2019,Sep,IGDB,-,-,-,-,Twitch Interactive
289,Amazon,2019,Sep,INLT,-,-,-,-,-
290,Amazon,2020,Jun,Zoox,-,-,1200000000,-,-
291,Amazon,2020,Dec,Wondery,-,-,-,-,Amazon Music
292,Amazon,2021,Jan,Umbra 3D,-,-,-,-,Amazon Robotics
293,Amazon,2021,May,Dbbest,-,-,-,-,-
294,Amazon,2021,May,Metro-Goldwyn-Mayer,-,-,8450000000,-,Metro-Goldwyn-Mayer
295,Amazon,2021,Jun,Art19,-,-,-,-,Amazon Music
296,Amazon,2021,Jun,Wickr,-,-,-,-,Amazon Web Services
297,Hp,1958,-,F.L. Moseley Company,Plotter,-,-,-,-
298,Hp,1959,-,Boonton Radio,Flight test instrumentation,-,-,-,-
299,Hp,1961,-,Sanborn Company,Medical equipment,-,-,-,-
300,Hp,1962,Nov,Neely Enterprises,Sales/manufacturer's representative,-,-,-,-
301,Hp,1965,-,F&M Scientific Corporation,Analytical chemistry,-,-,-,-
302,Hp,1966,-,"Data Systems, Inc",Information technology,-,-,-,-
303,Hp,1973,Jan,Hupe & Busch,Liquid Chromatography,-,-,-,-
304,Hp,1985,Dec,"Cericor, Inc.",CAD - Logic Design,-,-,-,-
305,Hp,1989,Jan,Eon Systems Inc.,Electronics,-,-,-,-
306,Hp,1989,May,Apollo Computer,Computer manufacturer,-,476000000,-,-
307,Hp,1989,Nov,Certain assets of Optotech Inc.,Disk drive,-,-,-,-
308,Hp,1991,Jan,Applied Optoelectronic Tech,Automatic test equipment,-,-,-,-
309,Hp,1991,Nov,Avantek,Transistor,-,-,-,-
310,Hp,1991,Dec,ABB CADE,Computer software,-,-,-,-
311,Hp,1992,Sep,Colorado Memory Systems,Magnetic tape,-,-,-,-
312,Hp,1992,Sep,French and German units of Leasametric,Company leasing,-,-,-,-
313,Hp,1992,Oct,Computer systems from Texas Instruments,Computer systems,-,-,-,-
314,Hp,1993,-,Ericsson Hewlett Packard Telecom (EHPT) 60% Ericsson and 40% Hewlett-Packard.,Telecoms,-,-,-,-
315,Hp,1993,Apr,Four Pi Systems Corp.,Automatic test equipment,-,-,-,-
316,Hp,-,-,Metrix Network Systems,Computer networking,-,-,-,-
317,Hp,1993,Sep,BT&D Technologies,Electronics,-,-,-,-
318,Hp,1993,Oct,EEsof Inc.,Computer software,-,-,-,-
319,Hp,1994,-,Versatest,Automatic test equipment,-,-,-,-
320,Hp,1994,-,Canstar Systems (an Alcatel Canada Wire Inc division),Fibre Channel switch,-,-,-,-
321,Hp,1995,Jun,CaLan Inc.,Automatic test equipment,-,-,-,-
322,Hp,1995,Sep,Convex Computer,Computer manufacturer,-,150000000,-,-
323,Hp,1995,Dec,ElseWare Corp.,Computer programming,-,-,-,-
324,Hp,1996,Feb,SecureWare Internet security division,Computer security,-,-,-,-
325,Hp,1996,Jun,Graphics technology from Parametric Technology Corporation,Graphics hardware,-,9273000,-,-
326,Hp,1996,Jun,Division Inc.,Computer programming,-,6000000,-,-
327,Hp,1996,Jul,DP-Tek Development,Imaging,-,-,-,-
328,Hp,1996,Aug,Trellis Software & Controls,Motion control,-,-,-,-
329,Hp,1997,Mar,Vital Technology Pte Ltd,Investment,-,-,-,-
330,Hp,1997,Apr,VeriFone,Electronic bill payment,-,1180000000,-,-
331,Hp,1997,Jun,PROLIN,Information technology,-,-,-,-
332,Hp,1997,Sep,Internet printing technology from ForeFront Group,Printing,-,2500000,-,-
333,Hp,1997,Nov,Nuview ManageX from Nuview Inc.,Business process management,-,-,-,-
334,Hp,1997,Nov,Optimazation systems,Computer software,-,-,-,-
335,Hp,1998,Jan,Business related assets of Siltek,Information technology,-,-,-,-
336,Hp,1998,Mar,Heartstream,Medical equipment,-,-,-,-
337,Hp,1998,Jun,Computing & Measurement Systems,Computers,-,-,-,-
338,Hp,1998,Oct,Scope Communications Inc.,Cable tester,-,-,-,-
339,Hp,1998,Oct,"Open Skies, Inc.",Computer software,-,-,-,-
340,Hp,1999,May,Printmountain,Printing,-,-,-,-
341,Hp,1999,May,Telegra Corp,Computer software,-,-,-,-
342,Hp,1999,May,Transoft Networks,Storage area network,-,-,-,-
343,Hp,1999,Jun,Dazel Corporation,Computer software,-,-,-,-
344,Hp,1999,Aug,Security Force Software,Computer security,-,-,-,-
345,Hp,1999,Sep,Qosnetics,Information technology,-,-,-,-
346,Hp,2001,Jan,Bluestone Software,Computer software,-,470000000,-,-
347,Hp,2001,Aug,Comdisco Inc.,Information technology,-,610000000,-,-
348,Hp,2001,Aug,Trinagy Inc.,Computer software,-,-,-,-
349,Hp,2001,Sep,StorageApps,Data storage,-,350000000,-,-
350,Hp,2002,Mar,Indigo N.V,Printing service,-,-,-,-
351,Hp,2002,May,Compaq,Personal computer,-,25000000000,-,-
352,Hp,2003,May,Procter & Gamble IT,Information technology,-,3000000000,-,-
353,Hp,2003,Jun,Ericsson IT,Information technology,-,-,-,-
354,Hp,2003,Jul,PipeBeach,Communication software,-,-,-,-
355,Hp,-,-,Extreme Logic Inc.,Information technology,-,-,-,-
356,Hp,-,-,Talking Blocks,Web service,-,-,-,-
357,Hp,2003,Sep,SelectAccess assets of Baltimore Technologies,Computer security,-,-,-,-
358,Hp,-,-,Persist Technology,Computer software,-,-,-,-
359,Hp,2004,Feb,Consera Software,Computer software,-,-,-,-
360,Hp,-,-,Triaton Gmbh,Information technology,-,-,-,-
361,Hp,-,-,TruLogica,Computer software,-,-,-,-
362,Hp,2004,Apr,Novadigm Inc.,Computer software,-,-,-,-
363,Hp,2004,May,IT Infrastructure Management LLC(doing business as ManageOne),Information technology consulting,-,-,-,-
364,Hp,2004,May,CEC Europe Service Management,Information technology consulting,-,-,-,-
365,Hp,2004,Jun,Networking technology from Riverstone Networks,Computer networking,-,-,-,-
366,Hp,2004,Oct,Synstar,Information technology,-,-,-,-
367,Hp,2005,Jan,IT division of West LB AG,Information technology,-,-,-,-
368,Hp,2005,Apr,Snapfish,Photo sharing,-,-,-,-
369,Hp,-,-,CGNZ,Information technology consulting,-,-,-,-
370,Hp,-,-,AppIQ,Data storage,-,-,-,-
371,Hp,-,-,RLX Technologies,Computer software,-,-,-,-
372,Hp,2005,Nov,Scitex Vision,Printing service,-,230000000,-,-
373,Hp,-,-,Trustgenix Inc.,Computer software,-,-,-,-
374,Hp,-,-,PIXACO,Online photo services,-,-,-,-
375,Hp,2005,Dec,Peregrine Systems,Computer software,-,425000000,-,-
376,Hp,-,-,OuterBay,Computer software,-,-,-,-
377,Hp,-,-,Silverwire,Imaging,-,-,-,-
378,Hp,2006,Jun,The Technology Partners,Information technology consulting,-,-,-,-
379,Hp,2006,Oct,VoodooPC,Computer manufacturer,-,-,-,-
380,Hp,2006,Nov,Mercury Interactive,Computer software,-,4500000000,-,-
